@relation oa-importance

@attribute class {general,important}
@attribute from_code string
@attribute from_agency string
@attribute name string
@attribute wenzhong numeric
@attribute wenhao numeric
@attribute date1 date yyyy-MM-dd
@attribute date2 date yyyy-MM-dd
@attribute to_1 string
@attribute to_2 string
@attribute date0_day date yyyy-MM-dd
@attribute date0_time date HH:mm

@data
general,教高厅函〔2019〕4号,教育部办公厅,教育部办公厅关于召开教育部直属高校工作咨询委员会第二十八次全体会议的通知,1,41,2019-01-17,2019-01-12,?,?,2019-01-11,16:46
general,陕办通报[2019]第1期,陕西省委办公厅,陕办通报[2019]第1期（胡和平同志在市（区）委、省委各工委和省国资委党委书记抓基层党建述职评议考核工作会议上的讲话,0,42,?,?,组织部,?,2019-01-11,18:18
general,教社科函[2018]26号,中央宣传部,中央宣传部教育部关于组织2019年哲学社会科学教学科研骨干研修的通知,1,44,?,2019-01-15,宣传部,组织部,2019-01-11,18:07
general,陕办字[2019]12号,陕西省委办公厅,中共陕西省委办公厅关于开展向“三秦楷模”西安交通大学网络化系统工程团队、延安市宝塔区消防中队学习活动的决定,0,41,?,?,宣传部,?,2019-01-11,18:14
general,教办厅函〔2019〕4号,教育部办公厅,教育部办公厅关于召开2019年全国教育工作会议的通知,1,46,2019-01-18,2019-01-14,校长办公室,?,2019-01-11,18:43
general,教财司函[2019]1号,教育部财务司,关于高校所属企业体制改革有关政策的通知,1,43,?,?,资产公司,?,2019-01-11,18:22
general,陕教[2019]10号,陕西省学位委员会,关于公布2018年陕西省优秀博士学位论文评选结果的通知,1,39,?,?,研究生院,?,2019-01-11,10:42
general,陕发[2018]26号,陕西省委办公厅,中共陕西省委关于全面深化改革扩大开放推动新时代追赶超越发展的决定,0,37,?,?,校长办公室,?,2019-01-10,11:18
general,陕发[2018]28号,陕西省委办公厅,中共陕西省委关于全面加强秦岭生态环境保护工作的决定,0,36,?,?,校长办公室,?,2019-01-10,11:13
general,陕教工组[2019]5号,陕西省委教育工委,中共陕西省委教育工委办公室转发省委组织部《关于认真开好2018年度组织生活会和做好民主评议党员工作的通知》,0,39,?,2019-03-10,组织部,?,2019-01-10,17:36
