@relation oa-importance

@attribute class {general,important}
@attribute from_code string
@attribute from_agency string
@attribute name string
@attribute wenzhong numeric
@attribute wenhao numeric
@attribute date1 date yyyy-MM-dd
@attribute date2 date yyyy-MM-dd
@attribute to_1 string
@attribute to_2 string
@attribute date0_day date yyyy-MM-dd
@attribute date0_time date HH:mm

@data
general,陕办通报[2018]40期,省委,胡和平同志在全省深度贫困地区脱贫攻坚工作推进会上的讲话,0,692,?,?,扶贫办,?,2018-10-25,19:15
important,中办发[2018]55号,中办,中共中央办公厅国务院办公厅印发《关于建立健全基本公共服务标准体系的指导意见》的通知,0,690,?,?,教务处,?,2018-10-24,15:43
general,?,北京大学,“百年大学百年体育”校长论坛邀请函,4,1173,2018-11-23,?,体育中心,?,2018-10-24,09:10
general,教思政厅函[2018]37号,教育部,教育部办公厅关于开展第二批“三全育人”综合改革试点工作的通知,1,1191,?,2018-11-09,校长办公室,?,2018-10-24,10:16
general,教思政厅函[2018]36号,教育部,教育部办公厅关于公布首批“三全育人”综合改革试点单位名单的通知,1,1190,?,?,?,?,2018-10-24,10:13
general,?,中国矿业大学,关于宋学锋同志任中国矿业大学校长的告知函,4,1172,?,?,校长办公室,?,2018-10-23,15:31
important,中纪办[2018]53号,中纪委,印发《关于贯彻实施&lt;中央纪委国家监委信息化工作规划（2018-2022年）的指导意见&gt;》的通知,0,688,?,?,纪委办公室,?,2018-10-23,15:22
important,中组发[2018]17号,中组部,中共中央组织部关于做好2018年度党委（党组）书记抓基层党建述职评议考核工作的通知,0,687,?,?,组织部,?,2018-10-23,15:21
general,?,华中农大,关于李召虎同志任华中农业大学校长的告知函,4,1167,?,?,校长办公室,?,2018-10-23,15:24
important,中组发[2018]16号,中组部中宣部等,中共中央组织部中共中央宣传部国务院国资委党委关于认真学习贯彻习近平总书记重要指示精神广泛开展向黄群、宋月才、姜开斌同志为代表的抗灾抢险英雄群体和王继才同志学习的通知,0,686,?,?,宣传部,?,2018-10-23,15:19
general,?,浙江大学,浙江大学关于邀请发起“一带一路”工程教育国际联盟的函,4,1164,2018-11-09,2018-10-30,网络信息中心,?,2018-10-22,14:20
general,中委[2018]732号,中办,中共中央关于追授黄群、宋月才、姜开斌、王继才同志“全国优秀共产党员”称号的决定,0,682,?,?,宣传部,?,2018-10-22,14:40
general,?,教育部思政司,教育部思想政治工作司关于启动实施“高校网络教育名师培育支持计划”的通知,1,1164,?,?,人力资源部,?,2018-10-19,11:46
general,?,教育部,教育部思想政治工作司关于启动实施“高校原创文化精品推广行动计划”的通知,1,1165,?,?,宣传部,?,2018-10-19,11:48
general,陕高教组办[2018]23号,省委高教工委,中共陕西省委高教工委办公室关于召开高教系统“以案促改”工作部署会的通知,0,673,2018-10-22,2018-10-19,纪委办公室,?,2018-10-18,09:34
important,教党[2018]55号,教育部党组等,中共教育部党组__中央纪委国家监委驻教育部纪检监察组关于两起挪用教育专项资金民生资金发放福利津补贴问题典型案例的通报,0,676,?,?,纪委办公室,?,2018-10-18,14:48
general,?,教育部规划司,致迈曾书记、树国校长函,1,1150,?,?,扶贫办,?,2018-10-16,10:15
general,教技厅函[2018]103号,教育部,教育部办公厅关于组织开展协同创新中心评估工作的通知,1,1136,?,?,科研院,?,2018-10-15,07:52
general,陕发[2018]12号,省委,中共陕西省委关于印发《陕西省党务公开实施细则（试行）》的通知,0,656,?,?,校长办公室,?,2018-10-12,16:43
general,陕办发[2018]29号,省委,中共陕西省委办公厅陕西省人民政府办公厅印发《关于深化环境监测改革提高环境监测数据质量的实施意见》的通知,0,658,?,?,科研院,?,2018-10-12,16:47
general,陕发[2018]11号,省委,中共陕西省委陕西省人民政府关于全面加强生态环境保护坚决打好污染防治攻坚战的实施意见,0,655,?,?,校长办公室,?,2018-10-12,16:41
general,陕办通报[2018]第39期,省委,胡和平同志在全省实施乡村振兴战略推进会议上的讲话,0,660,?,?,校长办公室,?,2018-10-12,17:04
general,陕办发[2018]28号,省委,中共陕西省委办公厅陕西省人民政府办公厅关于印发《陕西省生态环境损害赔偿制度改革实施方案》的通知,0,657,?,?,科研院,?,2018-10-12,16:46
general,?,省委,陕西工作交流第39、40、41期,0,661,?,?,科研院,?,2018-10-12,17:05
general,陕字[2018]110号,省委,中共陕西省委陕西省人民政府关于印发《陕西省完善主体功能区战略和制度的实施方案》的通知,0,659,?,?,科研院,?,2018-10-12,16:59
general,教育部通报第16期,教育部,坚持立德树人弘扬美育精神努力培养担当民族复兴大任的时代新人——田学军副部长在学习贯彻习近平总书记给中央美术学院老教授重要回信精神座谈会上的讲话,1,1123,?,?,校长办公室,?,2018-10-11,16:56
general,?,教育部,教育部关于加快建设高水平本科教育全面提高人才培养能力的意见,1,1110,?,?,教务处,?,2018-10-10,14:29
general,教高[2018]4号,教育部,教育部国家卫生健康委员会国家中医药管理局关于加强医教协同实施卓越医生教育培养计划2.0的意见,1,1112,?,?,医学部,?,2018-10-10,15:05
general,教高[2018]5号,教育部,教育部农业农村部国家林业和草原局关于加强农科教结合实施卓越农林人才教育培养计划2.0的意见,1,1109,?,?,教务处,?,2018-10-10,14:28
general,?,教育部,关于举办督导评估专题研究班的通知,1,1108,?,2018-10-12,教务处,?,2018-10-10,14:27
general,?,教育部,教育部关于印发《来华留学生高等教育质量规范（试行）》的通知,1,1116,?,?,国际教育学院,?,2018-10-10,17:13
important,教高[2018]3号,教育部,教育部工业和信息化部中国工程院关于加快建设发展新工科实施卓越工程师教育培养计划2.0的意见,1,1111,?,?,教务处,?,2018-10-10,14:36
important,教高[2018]6号,教育部,教育部中央政法委关于坚持德法兼修实施卓越法治人才教育培养计划2.0的意见,1,1102,?,?,法学院,?,2018-10-09,14:16
important,厅字[2018]82、84、85-90,中办,中共中央办公厅国务院办公厅关于调整有关部委职责机构编制的通知,0,650,?,?,校长办公室,?,2018-10-09,15:39
important,中发[2018]35号,中共中央,中共中央国务院关于支持河北雄安新区全面深化改革和扩大开放的指导意见,0,649,?,?,创新港办公室,?,2018-10-09,15:32
general,教高[2018]7号,教育部,教育部中共中央宣传部关于提高高校新闻传播人才培养能力实施卓越新闻传播人才教育培养计划2.0的意见,1,1103,?,?,人文学院,?,2018-10-09,14:18
general,?,教育部思政司,高校思想政治工作简报第50-56期,2,67,?,?,宣传部,?,2018-10-09,15:29
general,?,教育部,审计通知书,1,1098,?,2018-10-10,审计处,?,2018-10-08,19:10
general,陕高教组[2018]109号,省委高教工委,中共陕西省委高教工委陕西省教育厅中共陕西省纪委驻省教育厅纪检组印发《关于深刻汲取近年来高校系统违纪案件教训开展“以案促改”工作的实施方案》的通知,0,640,?,?,纪委办公室,?,2018-09-30,15:10
general,?,中国科学技术大学,感谢信,4,707,?,?,?,?,2018-09-30,19:24
general,?,湘潭大学,感谢信,4,708,?,?,?,?,2018-09-30,19:27
general,陕纪教组函〔2018〕11号,省纪委驻省教育厅纪检组,中共陕西省纪委驻省教育厅纪检组关于印发《驻省教育厅纪检组机构设置及职责分工意见》的通知,0,642,?,?,纪委办公室,?,2018-09-30,19:39
general,?,武汉科技大学,关于征集武汉科技大学120周年华诞贺信、贺电、贺辞的函,4,705,?,?,校长办公室,?,2018-09-30,11:03
general,?,兰州大学,关于联合发起成立“西部地区部属高校发展联盟”的邀请函,4,715,?,?,?,?,2018-09-30,19:35
general,?,济南大学,济南大学70周年邀请函,4,711,?,2018-10-18,校长办公室,?,2018-09-30,19:30
general,?,昆明医科大学,昆明医科大学建校85周年校庆邀请函,4,706,?,?,医学部,?,2018-09-30,11:04
general,?,中共教育部党组,中共教育部党组关于王光彦、魏士强同志职务任免的通知,0,641,?,?,机关与直属党委,?,2018-09-30,19:04
general,教材厅函[2018]8号,教育部,教育部办公厅关于组织申报国家教材建设重点研究基地的通知,1,1092,?,2018-10-27,教务处,?,2018-09-30,10:07
important,教党函[2018]82号,中共教育部党组,中共教育部党组关于驻部纪检监察组退出部内议事协调机构的通知,0,639,?,?,纪委办公室,?,2018-09-30,11:02
general,?,省委,陕西工作交流第37、38期,0,637,?,?,校长办公室,?,2018-09-29,16:53
general,陕高教办[2018]13号,省委高教工委,中共陕西省委高教工委办公室关于组织开展高校保密工作督导检查的通知,0,638,2018-10-18,?,保密办,?,2018-09-29,17:22
general,陕办发[2018]27号,省委宣传部,中共陕西省委办公厅陕西省人民政府办公厅关于印发《陕西省深化审评审批制度改革鼓励药品医疗器械创新的实施方案》的通知,0,635,?,?,医学部,?,2018-09-29,16:46

general,陕纪教组发〔2018〕15号,省教育厅,中共陕西省纪委驻省教育厅纪检组关于做好纪检监察干部监督有关情况报送工作的通知,1,1078,?,?,纪委办公室,?,2018-09-27,15:05
general,教党[2018]51号,教育部党组,中共教育部党组关于印发《“长江学者奖励计划”管理办法》的通知,0,626,?,?,人力资源部,?,2018-09-27,14:31
